# id|name|longitude|latitude|region|grade|source
# Grade C = coverage only. Never use these rows for signal-state/countdown estimation.
# Data: © OpenStreetMap contributors, ODbL 1.0; snapshot 2026-09-20.
C-NTPC-OSM-2176853653|安康路二段　安康路二段228巷|121.5094925|24.9591893|NTPC|C|OSM
C-NTPC-OSM-1470557470|安忠路　安忠路56巷|121.5127467|24.9591931|NTPC|C|OSM
C-NTPC-OSM-3209236292|西湖街　鶯桃路182巷|121.3397630|24.9593842|NTPC|C|OSM
C-NTPC-OSM-2679762077|中央路四段　頂埔外環路|121.4191206|24.9595697|NTPC|C|OSM
C-NTPC-OSM-1873942378|祥和路　安康路二段320巷|121.5041741|24.9596389|NTPC|C|OSM
C-NTPC-OSM-4401747468|安忠路　安忠路57巷|121.5131934|24.9596916|NTPC|C|OSM
C-NTPC-OSM-2171127673|安成街　安康路二段|121.5110683|24.9599137|NTPC|C|OSM
C-NTPC-OSM-3219865086|承天路　忠義路|121.4433441|24.9600273|NTPC|C|OSM
C-NTPC-OSM-2504537323|擺接堡路　柑城橋|121.4117457|24.9601798|NTPC|C|OSM
C-NTPC-OSM-9271445104|鶯桃路　鶯桃路296巷|121.3348794|24.9603059|NTPC|C|OSM
C-NTPC-OSM-315535933|中央路四段　中央路四段52巷|121.4203282|24.9604014|NTPC|C|OSM
C-NTPC-OSM-282284375|安康路二段107巷　安康路二段|121.5120890|24.9607403|NTPC|C|OSM
C-NTPC-OSM-2176853659|安德街　安德街116巷|121.5092803|24.9608170|NTPC|C|OSM
C-NTPC-OSM-1702990067|安康路一段　華城路|121.5306412|24.9610438|NTPC|C|OSM
C-NTPC-OSM-2081255072|中興路一段　光明街138巷|121.5404394|24.9610685|NTPC|C|OSM
C-NTPC-OSM-244379462|德昌街　鶯桃路|121.3340630|24.9612098|NTPC|C|OSM
C-NTPC-OSM-2176853631|安成街　安德街|121.5097760|24.9612359|NTPC|C|OSM
C-NTPC-OSM-1012989659|中山路　民生街|121.4138540|24.9614292|NTPC|C|OSM
C-NTPC-OSM-1012989646|中央路四段　三民路|121.4218259|24.9614520|NTPC|C|OSM
C-NTPC-OSM-1604619417|中央路四段　大暖路|121.4222372|24.9617330|NTPC|C|OSM
