# id|region|road_class|structure|name|ref|layer|lat1|lon1|lat2|lon2|oneway|maxspeed
# Official open-data overlay; generated by tools/build_special_roads_open_data.py.
# Sources: Taipei bridges/vehicle underpasses + New Taipei bridges; collected 2026-09-22.
OFF-TPE-BRIDGE-D008-0|TPE|URBAN|RAMP|水源堤防道路匝道F - 古亭抽水站上方|D008|1|25.0200550|121.5227840|25.0196040|121.5229860||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|RAMP|建國高架橋(匝道11)|D012|1|25.0494850|121.5368910|25.0508650|121.5368910||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|RAMP|建國高架橋(匝道2)|D012|1|25.0284510|121.5376120|25.0271750|121.5376110||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|RAMP|建國高架橋(匝道3)|D012|1|25.0353290|121.5379910|25.0360510|121.5379880||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|RAMP|建國高架橋(匝道4)|D012|1|25.0363890|121.5377410|25.0374740|121.5377690||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|RAMP|建國高架橋(匝道14)|D012|1|25.0607980|121.5370750|25.0597120|121.5370740||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|RAMP|建國高架橋(匝道15)|D012|1|25.0607780|121.5369150|25.0595650|121.5369000||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|RAMP|建國高架橋(匝道16)|D012|1|25.0661180|121.5356560|25.0668820|121.5346020||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|RAMP|建國高架橋(匝道17)|D012|1|25.0671010|121.5346460|25.0696540|121.5335090||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|RAMP|建國高架橋(匝道12)|D012|1|25.0532330|121.5369640|25.0543290|121.5369860||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|RAMP|建國高架橋(匝道13)|D012|1|25.0537470|121.5367000|25.0526390|121.5366790||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|RAMP|建國高架橋(匝道5)|D012|1|25.0395110|121.5379850|25.0400360|121.5378730||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|RAMP|建國高架橋(匝道6)|D012|1|25.0393520|121.5380090|25.0400040|121.5378840||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|RAMP|建國高架橋(匝道7)|D012|1|25.0428830|121.5365520|25.0441670|121.5364690||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|RAMP|建國高架橋(匝道8)|D012|1|25.0428770|121.5368960|25.0441690|121.5367890||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|RAMP|建國高架橋(匝道9)|D012|1|25.0462440|121.5365230|25.0474010|121.5365570||
OFF-TPE-BRIDGE-D012-0|TPE|URBAN|RAMP|建國高架橋(匝道10)|D012|1|25.0462520|121.5368140|25.0472610|121.5368370||
OFF-TPE-BRIDGE-D015-CL-0|TPE|URBAN|RAMP|重陽橋匝道C-L側|D015-CL|1|25.0857000|121.5058870|25.0861350|121.5076230||
OFF-TPE-BRIDGE-D015-CR-0|TPE|URBAN|RAMP|重陽橋匝道C-R側|D015-CR|1|25.0858560|121.5058300|25.0861960|121.5069710||
OFF-TPE-BRIDGE-D015-D-0|TPE|URBAN|RAMP|重陽橋匝道D|D015-D|1|25.0860940|121.5071160|25.0865660|121.5087070||
OFF-TPE-BRIDGE-D015-E-0|TPE|URBAN|RAMP|重陽橋匝道E|D015-E|1|25.0865570|121.5094640|25.0869030|121.5102730||
OFF-TPE-BRIDGE-D015-F-0|TPE|URBAN|RAMP|重陽橋匝道F|D015-F|1|25.0869390|121.5099450|25.0857700|121.5110500||
OFF-TPE-BRIDGE-D015-G-0|TPE|URBAN|RAMP|重陽橋匝道G|D015-G|1|25.0873140|121.5110910|25.0858100|121.5108010||
OFF-TPE-BRIDGE-D016A-0|TPE|URBAN|RAMP|基隆路高架匝道A|D016A|1|25.0087000|121.5325000|25.0098220|121.5343200||
OFF-TPE-BRIDGE-D016B-0|TPE|URBAN|RAMP|基隆路高架匝道B|D016B|1|25.0090520|121.5332530|25.0090540|121.5335990||
OFF-TPE-BRIDGE-D016C-0|TPE|URBAN|RAMP|基隆路高架匝道C|D016C|1|25.0103300|121.5351100|25.0091880|121.5340590||
OFF-TPE-BRIDGE-D016D-0|TPE|URBAN|RAMP|基隆路高架匝道D|D016D|1|25.0109500|121.5362770|25.0103750|121.5347980||
OFF-TPE-BRIDGE-D016E-0|TPE|URBAN|RAMP|基隆路高架匝道E|D016E|1|25.0115360|121.5376200|25.0124360|121.5387140||
OFF-TPE-BRIDGE-D016F-0|TPE|URBAN|RAMP|基隆路高架匝道F|D016F|1|25.0092160|121.5340850|25.0094650|121.5341700||
OFF-TPE-BRIDGE-D016G-0|TPE|URBAN|RAMP|基隆路高架匝道G|D016G|1|25.0160430|121.5429670|25.0152980|121.5420940||
OFF-TPE-BRIDGE-D016H-0|TPE|URBAN|RAMP|基隆路高架匝道H|D016H|1|25.0199260|121.5475960|25.0193740|121.5469260||
OFF-TPE-BRIDGE-D020C-0|TPE|URBAN|RAMP|辛亥高架橋(匝道C)|D020C|1|25.0225990|121.5366460|25.0225380|121.5341920||
OFF-TPE-BRIDGE-D020D-0|TPE|URBAN|RAMP|辛亥高架橋(匝道D)|D020D|1|25.0223020|121.5359700|25.0224200|121.5349700||
OFF-TPE-BRIDGE-D021-0|TPE|EXPRESSWAY|RAMP|水源高架匝道C|D021|1|25.0091736|121.5340656|25.0067103|121.5339314||
OFF-TPE-BRIDGE-D021-0|TPE|EXPRESSWAY|RAMP|水源高架匝道B|D021|1|25.0086692|121.5339468|25.0066519|121.5339153||
