# id|type|lat|lon|title|detail|direction|limit
TP-T-9|TECH|25.04475690|121.53664310|科技執法|市民大道與建國南路口；闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛||
TP-T-10|TECH|25.04780297|121.52421680|科技執法|市民大道與林森北路口；闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛||
TP-T-11|TECH|25.02433297|121.55253050|科技執法|和平東路與基隆路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛||
TP-T-12|TECH|25.03350338|121.53777860|科技執法|信義路與建國南路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛||
TP-T-13|TECH|25.01915922|121.54664580|科技執法|辛亥路與基隆路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、機車行駛人行道||
TP-T-14|TECH|25.04487049|121.54889920|科技執法|市民大道與敦化南路口；闖紅燈、不停讓行人、不依規定轉彎||
TP-T-15|TECH|25.04116457|121.56458390|科技執法|忠孝東路與基隆路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛||
TP-T-16|TECH|25.03308411|121.55960580|科技執法|信義路與基隆路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛||
TP-T-17|TECH|25.08674429|121.50928810|科技執法|中正路與延平北路口；闖紅燈、不停讓行人、不依規定轉彎||
TP-T-18|TECH|25.12289255|121.47144030|科技執法|大度路與立德路口；闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛||
TP-T-19|TECH|25.10156300|121.51233040|科技執法|承德路與福國路口；闖紅燈、不依規定轉彎、不依標誌標線號誌指示行駛||
TP-T-20|TECH|25.03533184|121.49928840|科技執法|和平西路與西園路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛||
TP-T-21|TECH|24.98779043|121.55231930|科技執法|辛亥路與木柵路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛||
TP-T-22|TECH|25.07458929|121.57227680|科技執法|港墘路與堤頂大道口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、路口未淨空||
TP-T-23|TECH|25.05198747|121.53677940|科技執法|南京東路與建國北路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車||
TP-T-24|TECH|25.06579822|121.57507010|科技執法|民權東路與舊宗路、行忠路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、路口未淨空||
TP-T-25|TECH|25.04153123|121.54886130|科技執法|忠孝東路與敦化南路口(含敦化南路1段270巷與仁愛路4段71巷口)；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛、違規停車、行經設有停車再開標誌、標字之交岔路口不依規定停讓||
TP-T-26|TECH|25.03790110|121.54879980|科技執法|仁愛路、敦化南路口；闖紅燈、不停讓行人、違規停車、不依規定轉彎||
TP-T-27|TECH|25.01119266|121.53712090|科技執法|基隆路與羅斯福路口；闖紅燈、不停讓行人、不依標誌標線號誌指示行駛||
TP-T-28|TECH|25.04172211|121.53708160|科技執法|忠孝東路與建國南路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛||
TP-T-29|TECH|25.03808481|121.53787940|科技執法|仁愛路與建國南路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛||
TP-T-30|TECH|25.02269606|121.53762380|科技執法|辛亥路與建國南路口；闖紅燈、不依標誌標線號誌指示行駛||
TP-T-31|TECH|25.08416845|121.52536900|科技執法|中山北路與劍潭路口；闖紅燈、不停讓行人、不依規定轉彎、不依標誌標線號誌指示行駛||
TP-T-32|TECH|25.02455679|121.54873230|科技執法|和平東路與敦化南路口；闖紅燈、不停讓行人、未保持路口淨空、不依規定轉彎、不依標誌標線號誌指示行駛||
